applicant_id,business_type,years_in_operation,promoter_credit_score,promoter_exp_years,prior_default,annual_revenue,gst_turnover,ebitda_margin,net_margin,total_debt,existing_emi,loan_amount_requested,loan_tenure_months,loan_purpose,proposed_emi,dscr,collateral_type,collateral_value,default_probability_true,default_flag
APP_00084,Manufacturing,13,578,16,0,44159655,35953674,0.046,0.0348,2157461,36536,13167174,36,Expansion,556452,0.29,Machinery,22125652,0.8176,1
APP_00085,Retail/Trading,2,651,7,0,2386991,2723775,0.1198,0.0657,1418712,22212,782551,48,Working Capital,26886,0.49,Machinery,554328,0.5,1
APP_00086,Retail/Trading,9,781,16,0,5015016,5898553,0.1871,0.02,4624633,95360,803243,12,Working Capital,76792,0.45,Real Estate,422731,0.1192,0
APP_00087,Services,4,597,7,0,2455320,1990016,0.2067,0.127,1764275,26243,847036,48,Equipment Purchase,29772,0.75,Real Estate,620483,0.8176,1
APP_00088,Services,1,746,15,0,17582609,19616999,0.2726,0.144,3403021,90239,1235791,12,Expansion,119831,1.9,Real Estate,1076021,0.1192,0
APP_00089,Logistics,3,762,15,0,10951433,10451229,0.0523,0.0657,1168132,16239,4326423,48,Expansion,150896,0.29,Inventory,3730874,0.2689,0
APP_00090,Retail/Trading,14,825,18,0,702132,726181,0.0287,0.0523,25410,579,137552,48,Equipment Purchase,4914,0.31,Inventory,238655,0.1192,0
APP_00091,Manufacturing,11,828,17,0,12367831,12367806,0.1853,0.0711,7744299,165040,2024735,48,Inventory Restocking,64486,0.83,Machinery,3194079,0.1192,1
APP_00092,Services,5,611,12,0,902741,921269,0.2643,0.1412,252777,7013,336981,48,Working Capital,10731,1.12,Real Estate,334246,0.2689,0
APP_00093,Tech/Startup,14,785,20,0,1805817,1802339,0.0965,-0.0884,920337,18034,173965,36,Inventory Restocking,7056,0.58,None,0,0.5744,1
APP_00094,Services,12,804,19,0,13188148,15052294,0.0803,0.1462,5478999,100281,2310953,24,Equipment Purchase,125553,0.39,None,0,0.1824,0
APP_00095,Tech/Startup,3,815,6,0,1196181,1283983,0.0503,-0.0757,81710,1729,210067,36,Expansion,8849,0.47,None,0,0.5744,0
APP_00096,Retail/Trading,16,621,16,0,3451434,3330823,0.0343,0.0585,511010,10860,685201,36,Inventory Restocking,26420,0.26,Machinery,665011,0.5,0
APP_00097,Services,4,486,9,0,13406672,14417902,0.3038,0.1602,17638365,223658,4651024,12,Expansion,443980,0.51,Machinery,6880488,0.8176,1
APP_00098,Retail/Trading,5,593,9,0,8870546,10520637,0.0637,0.0399,1514663,29314,3080594,36,Equipment Purchase,124509,0.31,Machinery,3712106,0.8176,1
APP_00099,Manufacturing,1,742,11,0,8269373,6881137,0.2049,0.1298,2273135,32165,2125832,36,Debt Consolidation,85243,1.2,Inventory,1821132,0.2689,1
APP_00100,Manufacturing,4,517,18,1,13938363,13314425,0.1122,0.0344,1918237,40473,5535140,12,Expansion,518470,0.23,Inventory,9089743,0.9707,1
APP_00101,Manufacturing,5,630,8,0,25865658,29698472,0.1655,0.0261,19548885,261230,8935453,36,Inventory Restocking,344167,0.59,Inventory,4787660,0.5,1
APP_00102,Services,7,839,8,0,1216349,1332658,0.2638,0.1567,549103,8012,350763,36,Inventory Restocking,13520,1.24,Real Estate,677764,0.0474,0
APP_00103,Retail/Trading,2,696,2,0,8039639,9438307,0.0734,0.0837,2252164,31151,963232,24,Equipment Purchase,52638,0.59,Real Estate,1186513,0.5,1
APP_00104,Services,3,724,11,0,17148517,13991885,0.2539,0.1666,22908225,401210,4156899,36,Inventory Restocking,165952,0.64,Real Estate,7140853,0.2689,0
APP_00105,Logistics,16,836,27,0,13543592,15508905,0.1778,0.0479,9060999,115841,1691152,60,Working Capital,46604,1.24,Real Estate,1062762,0.0474,1
APP_00106,Retail/Trading,12,720,13,0,4451744,4971349,0.0603,0.0191,1571746,29131,692600,48,Expansion,23906,0.42,Inventory,593744,0.2689,1
APP_00107,Retail/Trading,13,714,21,0,4153564,4676977,0.1011,0.0397,1700874,26230,1204750,36,Working Capital,50350,0.46,Inventory,1839889,0.2689,0
APP_00108,Tech/Startup,6,739,11,0,14493307,15057170,0.1856,-0.069,5999372,89913,1660163,36,Equipment Purchase,64462,1.45,None,0,0.3318,0
APP_00109,Retail/Trading,8,558,20,0,6967938,5719052,0.0682,0.0586,2466838,30190,569937,24,Working Capital,31506,0.64,Receivables,881137,0.8176,1
APP_00110,Manufacturing,9,794,14,0,20034313,20347889,0.1828,0.0783,8094812,190658,4728918,12,Working Capital,442870,0.48,Machinery,2920632,0.1192,0
APP_00111,Retail/Trading,16,591,17,1,6149269,5922363,0.0702,0.015,2523621,59366,309511,24,Expansion,17316,0.47,Receivables,498322,0.9707,1
APP_00112,Manufacturing,1,640,6,0,3442585,3479822,0.1048,0.0793,1128157,19391,905814,60,Expansion,28515,0.63,Inventory,727838,0.7311,1
APP_00113,Logistics,4,540,6,0,649422,711843,0.1492,0.0611,556437,6950,237343,60,Debt Consolidation,6514,0.6,Real Estate,323974,0.8176,1
APP_00114,Tech/Startup,7,692,21,0,4087631,4244531,0.0959,-0.0404,591732,15975,476556,48,Working Capital,16567,1.0,None,0,0.7858,1
APP_00115,Services,6,805,12,0,1230406,1128313,0.2023,0.167,140079,2843,226356,36,Expansion,8661,1.8,Real Estate,389025,0.018,0
APP_00116,Logistics,3,742,15,0,599917,623795,0.0484,0.0576,45852,924,222406,24,Working Capital,12560,0.18,Machinery,114982,0.2689,1
APP_00117,Tech/Startup,9,752,18,0,1907579,1589500,0.1296,-0.0469,257317,5081,565320,36,Working Capital,22634,0.74,None,0,0.7858,1
APP_00118,Manufacturing,4,596,7,0,12531233,10051883,0.1503,0.0482,8546113,229821,1220038,36,Equipment Purchase,49356,0.56,Machinery,968403,0.8176,1
APP_00119,Logistics,6,858,14,0,4032024,3873207,0.1178,0.1095,928629,12278,740675,36,Equipment Purchase,30810,0.92,Real Estate,1012538,0.1192,0
APP_00120,Services,8,514,12,0,6674548,7361189,0.2466,0.1417,6612099,181513,2099801,36,Working Capital,81938,0.52,Inventory,1353644,0.8176,1
APP_00121,Tech/Startup,4,807,15,0,12095196,13656125,0.0192,-0.039,969536,16452,3418976,48,Equipment Purchase,112237,0.15,None,0,0.5744,0
APP_00122,Logistics,10,751,19,0,5163012,5265940,0.1419,0.0357,3139035,81101,539434,48,Expansion,16821,0.62,Machinery,901898,0.2689,0
APP_00123,Retail/Trading,11,451,13,0,2360502,2707974,0.0678,-0.0099,812502,10930,169646,36,Working Capital,6930,0.75,None,0,0.9707,1
APP_00124,Manufacturing,3,609,3,0,3155538,2683362,0.1562,0.0949,650137,9050,910633,48,Equipment Purchase,31717,1.01,Machinery,1422643,0.2689,0
APP_00125,Retail/Trading,4,742,4,0,13618173,16146282,-0.0329,0.0289,348204,4929,3583730,12,Expansion,349745,-0.11,Real Estate,1974505,0.2689,1
APP_00126,Retail/Trading,3,648,15,0,5222802,6103910,0.1665,0.0345,576934,8087,369617,36,Working Capital,14955,3.15,Machinery,502982,0.0474,0
APP_00127,Tech/Startup,6,658,9,0,500000,519847,0.1246,-0.0182,66709,822,195592,24,Working Capital,10855,0.44,None,0,0.9089,0
APP_00128,Logistics,7,775,21,1,3527930,2905211,0.1484,0.0392,1353915,24174,488101,24,Equipment Purchase,25584,0.88,Real Estate,923338,0.7311,0
APP_00129,Manufacturing,5,520,14,0,10201135,10014261,0.069,0.1611,4098936,52988,1888314,12,Expansion,183262,0.25,Machinery,1559346,0.8176,1
APP_00130,Services,7,588,16,0,6712301,5851174,0.2873,0.1753,4710627,105046,752845,24,Working Capital,38914,1.12,Machinery,1444316,0.6225,0
APP_00131,Retail/Trading,4,565,7,0,1583813,1665173,0.132,0.0636,625413,10846,538469,60,Working Capital,14884,0.68,None,0,0.8808,1
APP_00132,Retail/Trading,4,648,12,0,2201595,1928566,0.1198,0.0309,1312975,36043,851794,36,Debt Consolidation,34882,0.31,Real Estate,712758,0.5,0
APP_00133,Manufacturing,8,795,15,0,520025,516238,0.134,0.102,386939,7795,100000,60,Working Capital,2827,0.55,Real Estate,154159,0.1192,0
APP_00134,Retail/Trading,4,720,7,0,10420046,9193093,0.0873,0.0334,5312495,91607,1553724,24,Debt Consolidation,83466,0.43,Inventory,1363029,0.2689,0
APP_00135,Logistics,6,668,11,0,11366257,9919764,0.1693,0.1129,9707612,121884,3378967,24,Debt Consolidation,188536,0.52,Real Estate,1761830,0.5,1
APP_00136,Retail/Trading,8,644,14,0,4592468,4129406,0.0329,0.0444,493799,9641,1078133,36,Expansion,43808,0.24,Receivables,1151656,0.5,0
APP_00137,Services,7,636,16,0,3539932,2873286,0.1997,0.1559,1245704,18245,307172,36,Inventory Restocking,12217,1.93,Receivables,302736,0.1192,0
APP_00138,Services,4,804,11,0,1472151,1599412,0.1659,0.1291,926107,12180,552081,36,Debt Consolidation,22142,0.59,Receivables,333728,0.1192,0
APP_00139,Retail/Trading,12,662,15,0,8031229,7410339,0.081,0.0621,1029743,19927,2119464,36,Expansion,89060,0.5,Receivables,3892434,0.5,1
APP_00140,Construction,1,582,1,0,751164,810688,0.066,0.073,39971,905,116761,48,Equipment Purchase,3884,0.86,Real Estate,83226,0.9427,1
APP_00141,Construction,0,550,4,0,13690208,14530667,0.1382,0.1039,10513736,163314,3031437,36,Debt Consolidation,127789,0.54,Real Estate,5461670,0.9427,0
APP_00142,Retail/Trading,9,633,22,0,10799524,8925213,0.0598,0.043,2044301,41173,2430825,36,Inventory Restocking,94834,0.4,Real Estate,2058985,0.5,1
APP_00143,Retail/Trading,7,728,7,0,21896145,20249859,0.0722,0.0007,5209184,77382,5121425,36,Equipment Purchase,207144,0.46,None,0,0.3775,0
APP_00144,Retail/Trading,2,789,12,0,5725369,5878489,0.0514,0.0073,1133015,26680,1282808,48,Debt Consolidation,41920,0.36,Inventory,2242781,0.1192,0
APP_00145,Retail/Trading,7,704,17,0,2887811,3371116,-0.0073,0.0764,62774,1450,712214,36,Debt Consolidation,29012,-0.06,Receivables,755673,0.2689,0
APP_00146,Manufacturing,4,672,7,0,9053117,8695771,0.1321,0.0943,3520736,51439,1699029,36,Inventory Restocking,69075,0.83,Inventory,2348488,0.5,1
APP_00147,Services,8,689,14,0,13757582,13783950,0.1947,0.1514,14820084,179136,1391674,24,Working Capital,75879,0.88,Inventory,1376528,0.5,1
APP_00148,Services,0,789,6,0,1343478,1477911,0.2753,0.1526,1846132,38580,379672,36,Inventory Restocking,15345,0.57,None,0,0.3775,1
APP_00149,Manufacturing,5,795,5,0,4960029,5561770,0.1085,0.1043,898275,12783,1623766,60,Expansion,46990,0.75,Inventory,1172637,0.1192,0
APP_00150,Retail/Trading,4,601,12,0,7410707,8665607,-0.0224,-0.0173,349702,5682,2551924,24,Expansion,143465,-0.09,Real Estate,4141455,0.8176,0
APP_00151,Logistics,10,583,11,0,9602750,9591954,0.1142,-0.0219,4532837,59249,553917,48,Inventory Restocking,17821,1.19,Real Estate,555676,0.8808,0
APP_00152,Retail/Trading,1,597,5,0,3531532,3099043,0.0408,0.0159,524042,9586,676708,36,Inventory Restocking,27033,0.33,Inventory,546351,0.9241,1
APP_00153,Manufacturing,6,745,11,0,11492674,12708236,0.226,0.0602,12246061,148181,4510338,36,Inventory Restocking,175154,0.67,Inventory,8271518,0.2689,1
APP_00154,Retail/Trading,9,686,9,0,1702773,1447748,0.0539,-0.0255,413110,10339,122424,60,Inventory Restocking,3468,0.55,None,0,0.8808,1
APP_00155,Construction,18,836,31,0,60711955,58728915,0.1438,0.0603,38390128,461070,19727981,36,Inventory Restocking,769839,0.59,Real Estate,12210265,0.1545,0
APP_00156,Retail/Trading,4,754,15,0,2547809,2678473,0.0254,0.0574,345174,4505,239849,48,Debt Consolidation,8199,0.42,Inventory,405020,0.2689,0
APP_00157,Services,8,736,9,0,8791762,9466463,0.2924,0.1332,12125005,156270,2977099,36,Equipment Purchase,123001,0.77,Real Estate,2564643,0.2689,0
APP_00158,Tech/Startup,1,764,7,0,2777202,3036068,0.0038,-0.0822,19145,250,792273,24,Expansion,42030,0.02,None,0,0.9089,1
APP_00159,Retail/Trading,6,687,11,0,6062204,5319056,0.1567,0.0342,5035961,65089,1841464,36,Expansion,78623,0.55,Machinery,2245343,0.5,0
APP_00160,Services,13,665,18,0,1476093,1760476,0.2117,0.191,732906,9755,578720,60,Equipment Purchase,16255,1.0,Machinery,920504,0.2689,0
APP_00161,Retail/Trading,18,684,23,0,19593098,17072787,0.0707,0.0304,7636517,96448,7422244,48,Inventory Restocking,259595,0.32,Inventory,9142148,0.5,1
APP_00162,Services,8,735,21,0,2021068,1694522,0.3695,0.1776,3759348,64684,316357,24,Equipment Purchase,16808,0.76,Receivables,282362,0.2689,1
APP_00163,Services,1,708,14,0,5944116,6334169,0.2357,0.1611,1271521,15681,1077821,36,Inventory Restocking,42944,1.99,Receivables,1160006,0.1192,0
APP_00164,Services,14,626,20,0,4991992,5810678,0.2775,0.1746,6570200,120602,961026,36,Expansion,39499,0.72,Machinery,1262223,0.5,0
APP_00165,Manufacturing,1,884,10,0,2322149,2377308,0.0982,0.1289,741029,10441,262870,36,Working Capital,10664,0.9,Machinery,237400,0.2689,0
APP_00166,Tech/Startup,2,727,13,0,500000,519096,0.1712,-0.0779,502871,7173,100000,24,Expansion,5420,0.57,None,0,0.7858,1
APP_00167,Retail/Trading,15,705,28,0,19216523,19512340,0.0793,0.0322,4602823,61042,7545535,24,Expansion,419817,0.26,Inventory,14103325,0.2689,1
APP_00168,Manufacturing,6,718,19,0,6409278,5237016,0.158,0.1033,879633,12312,1418674,48,Working Capital,48763,1.38,Real Estate,1917488,0.0474,0
APP_00169,Manufacturing,4,801,15,0,667728,716154,0.1334,0.093,188159,4991,256013,48,Equipment Purchase,9064,0.53,Inventory,499142,0.1192,0
APP_00170,Services,10,834,18,0,542559,511784,0.2817,0.1649,437985,6127,100000,48,Debt Consolidation,3199,1.37,Machinery,114603,0.018,0
APP_00171,Services,7,739,15,0,3662058,4300243,0.2738,0.1666,3765345,101441,233455,60,Inventory Restocking,6245,0.78,Real Estate,122582,0.2689,1
APP_00172,Manufacturing,12,680,26,0,4881866,4270246,0.1608,0.0225,1048899,17028,1227132,36,Inventory Restocking,52493,0.94,Machinery,745388,0.5,1
