applicant_id,business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,collateral_value,repayment_history,debt_to_income_ratio,default_flag
APP-0080,Trading,12,392424,6519,364824,454,2,66025,Good,0.7,1
APP-0081,Services,6,1511659,15261,300157,834,0,66520,Poor,0.12,0
APP-0082,Manufacturing,1,2990107,46113,62132,734,3,17344,Good,0.47,0
APP-0083,Trading,4,2100241,55146,265069,398,2,319346,Good,0.1,1
APP-0084,Manufacturing,17,3071034,74325,495714,671,1,362230,Good,0.65,0
APP-0085,Manufacturing,13,4984349,51678,693444,661,0,277103,Good,0.32,0
APP-0086,Trading,18,1206245,13510,904287,411,0,431967,Good,0.64,1
APP-0087,Services,5,4976622,88367,686503,752,0,395085,Good,0.76,0
APP-0088,Manufacturing,3,208998,5627,101627,468,0,306408,Good,0.78,1
APP-0089,Trading,11,1726079,50326,132772,438,1,292412,Good,0.73,1
APP-0090,Manufacturing,13,672995,5854,941683,530,3,84564,Good,0.24,1
APP-0091,Manufacturing,4,3812853,63135,239415,538,1,432822,Good,0.24,0
APP-0092,Manufacturing,14,4100230,77657,986230,552,1,144622,Average,0.54,1
APP-0093,Manufacturing,11,2053011,63872,675582,735,1,250105,Average,0.48,0
APP-0094,Services,10,1326120,27674,987469,721,2,136774,Good,0.11,0
APP-0095,Manufacturing,19,4511918,68021,523277,602,0,78563,Good,0.37,0
APP-0096,Manufacturing,18,3423195,61906,269013,371,1,372308,Good,0.73,1
APP-0097,Manufacturing,6,1858516,35765,860500,562,2,454961,Average,0.73,1
APP-0098,Services,15,1006011,25234,427165,521,2,229351,Good,0.24,0
APP-0099,Manufacturing,10,3707905,34707,26116,376,3,286603,Good,0.37,0
APP-0100,Manufacturing,5,4075129,73636,716412,361,2,318926,Good,0.49,0
APP-0101,Services,5,3811509,93371,585657,770,0,481038,Average,0.7,0
APP-0102,Services,10,842955,12995,714177,456,1,137104,Good,0.47,0
APP-0103,Services,5,1316571,30448,899532,424,0,1825,Good,0.78,1
APP-0104,Manufacturing,3,1811126,31269,243982,460,1,126187,Good,0.66,1
APP-0105,Services,6,4160993,113600,748563,840,1,470306,Good,0.77,0
APP-0106,Services,4,343313,3381,215383,834,1,248870,Average,0.61,0
APP-0107,Manufacturing,18,4398366,137591,301799,405,3,441317,Good,0.71,1
APP-0108,Services,9,1652525,20860,198874,430,1,322253,Poor,0.68,1
APP-0109,Manufacturing,17,1767355,21733,581920,656,0,12470,Good,0.28,0
APP-0110,Trading,13,3996617,117298,941697,301,0,265914,Good,0.26,0
APP-0111,Services,15,3533974,106250,221284,532,2,158340,Average,0.71,1
APP-0112,Trading,17,3292792,35093,696136,668,0,393245,Good,0.16,0
APP-0113,Manufacturing,13,4950318,153713,446441,550,0,161155,Good,0.39,1
APP-0114,Services,16,1497922,22717,201082,407,0,271102,Good,0.67,1
APP-0115,Manufacturing,4,183114,4357,223807,575,1,375950,Average,0.67,1
APP-0116,Trading,5,3003718,30181,206523,479,0,270950,Good,0.2,0
APP-0117,Manufacturing,5,4735942,84535,714172,592,3,294306,Average,0.44,0
APP-0118,Services,9,1937717,37982,483818,474,3,336876,Good,0.44,0
APP-0119,Services,17,734076,17125,291039,422,3,165961,Poor,0.33,1
APP-0120,Trading,13,4018178,86250,993286,526,0,27702,Good,0.74,1
APP-0121,Manufacturing,2,189133,3758,948713,743,3,428993,Good,0.56,0
APP-0122,Services,13,3859697,124762,245892,727,3,446187,Good,0.79,0
APP-0123,Trading,19,4589469,59474,747696,382,3,269883,Poor,0.15,1
APP-0124,Services,3,1512597,18579,252718,364,1,286743,Average,0.38,1
APP-0125,Services,10,320001,8374,727167,580,2,298971,Good,0.68,1
APP-0126,Manufacturing,2,4667631,47596,557374,690,0,76821,Good,0.4,0
APP-0127,Services,13,3447570,70349,95637,727,2,96683,Good,0.28,0
APP-0128,Manufacturing,19,1449298,29615,485243,406,0,488479,Good,0.8,1
APP-0129,Services,17,4197413,67511,692567,847,0,68446,Good,0.71,0
APP-0130,Trading,14,832409,26299,379478,561,3,211282,Good,0.48,0
APP-0131,Services,12,1767826,27219,686257,458,1,346034,Good,0.49,0
APP-0132,Manufacturing,12,2491724,38732,597371,564,0,489428,Good,0.1,0
APP-0133,Manufacturing,11,4894636,69458,105028,767,3,484866,Average,0.79,0
APP-0134,Trading,7,763391,9143,863389,501,3,285183,Good,0.66,1
APP-0135,Services,4,4749654,82803,631839,454,0,388165,Good,0.13,0
APP-0136,Services,19,387164,9816,874938,312,2,250527,Good,0.22,0
APP-0137,Trading,1,3224209,86690,672643,596,0,438145,Good,0.67,1
APP-0138,Services,3,2813779,80667,628312,797,0,359511,Good,0.16,0
APP-0139,Services,13,2908214,38597,877913,544,0,43884,Good,0.76,1
APP-0140,Manufacturing,15,2284967,21076,272399,599,0,156218,Good,0.8,1
APP-0141,Services,2,2070880,67718,525152,661,0,45819,Good,0.72,0
APP-0142,Services,11,2851285,24782,217627,653,0,83162,Poor,0.62,1
APP-0143,Trading,4,2466338,79786,549775,820,3,213704,Good,0.44,0
APP-0144,Trading,19,4293780,124750,510549,685,1,424524,Good,0.16,0
APP-0145,Manufacturing,17,3943193,122772,553634,611,2,406270,Average,0.61,0
APP-0146,Services,3,2867754,51656,831482,713,2,79606,Good,0.38,0
APP-0147,Services,18,2831460,37554,280888,577,0,369933,Good,0.5,1
APP-0148,Services,8,1305959,30683,427972,655,3,52018,Good,0.31,0
APP-0149,Manufacturing,19,4313397,115877,71596,824,2,26250,Good,0.27,0
APP-0150,Manufacturing,5,2163687,25109,748757,315,0,145485,Good,0.33,0
APP-0151,Trading,7,1669426,47201,952650,344,0,339535,Good,0.67,1
APP-0152,Manufacturing,8,4500627,60975,391784,620,2,301065,Average,0.4,0
APP-0153,Services,5,2406068,49625,851464,625,2,333267,Good,0.32,0
APP-0154,Services,17,2188421,65095,839119,447,2,255311,Good,0.4,0
APP-0155,Manufacturing,5,970631,12782,187175,654,0,74363,Good,0.12,0
APP-0156,Services,4,335291,4821,163048,535,0,156857,Good,0.72,1
APP-0157,Services,19,2585896,25607,859295,404,1,187937,Good,0.49,0
APP-0158,Manufacturing,2,1699959,20397,403807,773,1,97400,Average,0.17,0
APP-0159,Manufacturing,11,3920019,47026,16277,695,0,96847,Average,0.3,0
APP-0160,Services,13,2238077,30032,858292,745,0,269005,Good,0.79,0
APP-0161,Services,15,4834973,74885,143332,519,1,76340,Good,0.52,1
APP-0162,Services,12,3819484,109649,250515,741,2,407195,Average,0.3,0
APP-0163,Trading,11,1340906,41873,794865,327,0,197905,Good,0.4,1
APP-0164,Trading,7,1485367,27464,731243,774,1,113049,Good,0.28,0
APP-0165,Trading,5,1590450,18351,296885,604,2,357,Good,0.12,0
APP-0166,Manufacturing,17,3771040,52525,391864,704,3,259718,Poor,0.69,1
APP-0167,Trading,9,1739576,46513,309355,812,0,376748,Good,0.3,0
APP-0168,Manufacturing,14,3296849,83307,774752,801,0,309345,Average,0.69,0
APP-0169,Manufacturing,12,315976,10273,792733,647,3,185326,Good,0.43,0
APP-0170,Trading,6,1655196,14392,444758,539,0,344304,Good,0.23,0
APP-0171,Trading,17,4256771,115368,279013,636,2,272940,Good,0.66,0
APP-0172,Trading,19,1095851,22988,496834,325,1,23238,Good,0.36,1
APP-0173,Services,19,127994,3955,359760,708,0,356320,Average,0.6,0
APP-0174,Trading,16,4338506,98646,992236,376,1,444194,Good,0.69,1
APP-0175,Services,12,2714921,52941,104515,516,1,40883,Good,0.77,1
APP-0176,Manufacturing,12,3591525,89714,160494,627,1,490609,Good,0.16,0
APP-0177,Services,6,1484730,43311,700973,322,0,85478,Good,0.11,0
APP-0178,Trading,4,4689158,72193,198088,609,3,69396,Good,0.48,0
APP-0179,Manufacturing,6,3843730,42363,594398,566,1,241819,Good,0.28,0
APP-0180,Manufacturing,11,4121650,78965,229601,714,1,266591,Good,0.43,0
APP-0181,Manufacturing,1,4404489,60325,743282,566,2,282667,Poor,0.15,1
APP-0182,Services,15,2008615,38308,306177,632,1,457295,Good,0.45,0
APP-0183,Trading,11,1028534,34054,841645,749,2,195895,Average,0.19,0
APP-0184,Manufacturing,19,4518262,102503,270705,546,3,442505,Good,0.69,1
APP-0185,Manufacturing,18,2419320,62112,465209,335,0,249494,Good,0.63,1
APP-0186,Manufacturing,17,3914376,98961,22938,700,1,493487,Good,0.15,0
APP-0187,Services,19,945668,27283,140842,327,3,498099,Average,0.69,1
APP-0188,Services,14,2729276,87163,274418,519,0,135921,Good,0.33,1
APP-0189,Trading,18,1368155,33935,880822,705,0,155790,Average,0.35,0
APP-0190,Services,19,1034588,20935,435031,570,3,367615,Good,0.23,0
APP-0191,Manufacturing,15,4499399,73246,479234,810,2,350006,Good,0.68,0
APP-0192,Trading,15,4052761,70275,160033,585,3,466218,Good,0.38,0
APP-0193,Manufacturing,4,531632,8875,30044,753,0,323121,Good,0.13,0
APP-0194,Manufacturing,7,1359752,22361,109372,616,0,350469,Good,0.78,0
APP-0195,Services,13,4081103,104880,949479,596,0,158207,Average,0.28,0
APP-0196,Trading,3,579954,13354,286850,637,1,161334,Average,0.76,0
APP-0197,Services,16,4100807,54881,147046,606,1,390566,Average,0.31,0
APP-0198,Services,9,3063337,99785,348608,727,0,221043,Average,0.68,0
APP-0199,Trading,8,1461910,27814,555501,650,0,34787,Poor,0.56,1
APP-0200,Manufacturing,13,1461188,32855,536238,810,1,235550,Poor,0.7,1
APP-0201,Manufacturing,17,4111367,106477,264043,824,1,277833,Good,0.78,0
APP-0202,Trading,17,76505,1811,750373,791,0,170932,Good,0.71,0
APP-0203,Manufacturing,17,3756729,60519,806843,308,3,379681,Good,0.38,0
APP-0204,Trading,1,1700375,48079,925035,796,0,312488,Good,0.67,0
APP-0205,Trading,8,1925530,21348,973660,739,2,330035,Poor,0.6,1
APP-0206,Services,19,262204,5914,334888,407,2,182730,Good,0.14,0
APP-0207,Trading,6,578168,8768,683131,544,1,97464,Good,0.75,1
APP-0208,Services,3,1023215,24278,473026,554,0,328013,Good,0.43,0
APP-0209,Manufacturing,5,617827,8515,831485,332,0,428546,Good,0.19,0
APP-0210,Manufacturing,13,2387208,65978,258966,322,2,80312,Good,0.4,0
APP-0211,Manufacturing,15,1317633,18475,455292,348,0,191136,Good,0.52,1
APP-0212,Manufacturing,14,3734815,114259,148117,761,2,27014,Good,0.5,0
APP-0213,Services,16,4752104,141955,329767,635,3,34563,Good,0.5,0
APP-0214,Manufacturing,18,2076182,36111,39714,657,3,408486,Good,0.28,0
APP-0215,Trading,11,4688246,84289,699746,421,1,424495,Good,0.54,1
APP-0216,Trading,3,98784,2555,381427,743,2,360701,Good,0.74,0
APP-0217,Trading,10,2260186,23941,280706,658,3,396873,Good,0.37,0
APP-0218,Services,10,2581196,26731,327192,645,0,89422,Good,0.54,0
APP-0219,Manufacturing,16,3250090,38160,365439,492,0,370063,Average,0.27,0
APP-0220,Manufacturing,12,103997,2329,22026,715,0,461989,Good,0.13,0
APP-0221,Manufacturing,2,2140053,25805,116147,676,0,494851,Average,0.51,0
APP-0222,Services,9,4425717,67597,565877,762,2,394243,Average,0.13,0
APP-0223,Trading,3,850981,20854,642487,445,1,145271,Average,0.61,1
APP-0224,Trading,15,2990504,26088,893706,777,2,116854,Good,0.57,0
APP-0225,Manufacturing,3,4984990,64003,298988,707,2,438170,Good,0.36,0
APP-0226,Trading,19,1512108,47754,950951,585,1,246229,Good,0.39,0
APP-0227,Trading,18,4793216,119460,362559,410,1,79317,Good,0.74,1
APP-0228,Services,8,620993,9918,218574,349,0,277264,Poor,0.11,1
APP-0229,Services,17,1300469,12310,224340,313,2,187884,Good,0.49,0
APP-0230,Services,8,4127348,94865,64708,433,1,89825,Poor,0.75,1
APP-0231,Services,7,4944450,68752,467141,642,1,268127,Average,0.74,0
APP-0232,Manufacturing,7,2223577,71905,605113,585,0,259571,Good,0.51,1
APP-0233,Services,3,2643449,67427,585862,613,3,328773,Good,0.37,0
APP-0234,Trading,1,1638858,53568,357692,596,3,70325,Good,0.17,1
APP-0235,Manufacturing,4,1068543,31581,422028,463,1,133984,Good,0.22,0
APP-0236,Trading,5,4356219,88906,242409,796,1,310023,Good,0.58,0
APP-0237,Trading,1,435105,10909,720669,315,2,152945,Poor,0.11,1
APP-0238,Trading,15,3475077,99512,598518,643,0,14332,Good,0.72,0
APP-0239,Services,5,4563125,103983,969132,377,0,147636,Good,0.51,1
APP-0240,Services,13,4277234,42218,264451,645,1,77795,Good,0.13,0
APP-0241,Manufacturing,8,1171889,23548,837013,371,0,107716,Good,0.27,0
APP-0242,Manufacturing,8,799211,9268,257174,569,1,413742,Good,0.52,1
APP-0243,Services,5,3308881,86707,449844,586,1,196553,Good,0.12,0
APP-0244,Trading,9,3681453,93321,229700,365,0,445991,Good,0.65,1
APP-0245,Manufacturing,1,4000476,132639,297249,367,0,348793,Good,0.74,1
APP-0246,Services,4,2043384,49150,876262,492,0,409222,Good,0.77,1
APP-0247,Services,3,2235028,63333,524539,354,0,21643,Good,0.61,1
APP-0248,Services,2,4853958,73006,341301,678,1,483165,Poor,0.7,1
APP-0249,Trading,8,587691,9893,435658,467,1,63128,Good,0.53,1
APP-0250,Services,9,3537924,110591,359379,708,3,42523,Good,0.42,0
APP-0251,Services,2,822838,22392,780802,807,0,488874,Good,0.6,0
APP-0252,Services,14,311420,7696,274491,836,2,332364,Good,0.26,0
APP-0253,Services,14,527843,7750,760382,401,0,466606,Poor,0.18,1
APP-0254,Manufacturing,4,4579943,118152,844082,721,1,52784,Average,0.63,0
APP-0255,Manufacturing,6,2310156,70465,158182,777,1,350037,Good,0.77,0
APP-0256,Services,11,4602538,64910,203242,419,1,321845,Average,0.5,0
APP-0257,Trading,3,4640905,120600,932427,590,2,497937,Average,0.44,0
APP-0258,Manufacturing,8,1875260,34084,717161,787,0,411162,Good,0.47,0
APP-0259,Services,3,2115306,23908,465987,460,0,144199,Average,0.43,0
APP-0260,Manufacturing,14,4825833,132323,134926,377,2,378245,Good,0.41,0
APP-0261,Manufacturing,13,3897593,48765,91147,337,0,109002,Good,0.76,1
APP-0262,Trading,13,4237694,62106,320279,693,0,160476,Average,0.44,0
APP-0263,Services,2,1262980,35245,553487,740,0,219496,Good,0.16,0
APP-0264,Services,13,3149834,84688,936570,839,0,17401,Average,0.64,0
APP-0265,Trading,19,1305973,19182,898015,761,1,408644,Good,0.37,0
APP-0266,Trading,6,3614507,115148,193208,593,1,364102,Average,0.6,1
APP-0267,Services,16,4349489,59655,888722,699,0,244373,Good,0.51,0
APP-0268,Services,2,3232132,107222,439791,391,0,252602,Good,0.6,1
APP-0269,Trading,8,4299486,115143,230868,305,2,112046,Good,0.14,0
APP-0270,Manufacturing,17,3490863,63345,130787,570,2,326516,Average,0.12,0
APP-0271,Manufacturing,2,4947327,57349,974237,398,3,274115,Good,0.36,0
APP-0272,Trading,10,3088783,50489,124427,825,3,350162,Good,0.59,0
APP-0273,Manufacturing,16,3421189,45080,158063,493,3,254572,Good,0.26,0
APP-0274,Trading,6,1922508,45908,687913,456,2,386912,Good,0.4,0
APP-0275,Manufacturing,2,2967369,51201,230782,414,1,478720,Poor,0.79,1
APP-0276,Manufacturing,2,4852738,76229,621781,695,0,16565,Good,0.25,0
APP-0277,Services,13,4816589,131308,928138,821,1,6829,Good,0.69,0
APP-0278,Services,15,194375,2740,498633,513,0,256680,Good,0.68,1
APP-0279,Manufacturing,2,4279491,98452,809203,832,2,76023,Good,0.72,0
APP-0280,Manufacturing,7,707253,9334,135607,314,1,428651,Good,0.74,1
APP-0281,Services,3,3233818,84736,781122,718,1,491377,Average,0.46,0
APP-0282,Services,8,3129578,74988,945802,667,0,81823,Poor,0.58,1
APP-0283,Services,14,1568560,44370,89876,512,1,38941,Good,0.53,1
APP-0284,Trading,7,1944420,19533,502108,304,0,251181,Good,0.32,0
APP-0285,Manufacturing,7,591797,8040,177071,530,0,173531,Poor,0.3,1
APP-0286,Services,1,4312957,52595,737247,500,0,441192,Good,0.34,1
APP-0287,Manufacturing,17,742289,9722,856080,701,0,373683,Good,0.25,0
APP-0288,Trading,9,3587498,39134,465884,448,1,472415,Good,0.63,1
APP-0289,Trading,13,1846218,41328,472590,791,1,9176,Good,0.78,0
APP-0290,Services,19,3734032,86514,470725,525,2,257505,Good,0.71,1
APP-0291,Trading,19,2434318,71619,253722,468,1,313660,Poor,0.25,1
APP-0292,Manufacturing,17,602226,11307,506564,451,0,146144,Good,0.14,0
APP-0293,Services,10,310710,6724,347927,523,3,464268,Average,0.63,1
APP-0294,Manufacturing,10,1330896,44073,578728,803,1,359512,Good,0.37,0
APP-0295,Manufacturing,4,2090403,45214,565943,849,1,412905,Good,0.68,0
APP-0296,Trading,8,3853074,87359,577327,343,1,149671,Good,0.65,1
APP-0297,Trading,18,4196226,139445,327399,803,2,125670,Average,0.54,0
APP-0298,Trading,14,988193,32794,82219,540,0,82045,Good,0.28,0
APP-0299,Trading,18,1455419,27557,720349,650,0,166460,Good,0.17,0
APP-0300,Trading,14,3912012,94698,807676,322,2,381047,Poor,0.28,1
APP-0301,Services,15,1593103,32425,628882,342,0,50603,Average,0.46,1
APP-0302,Manufacturing,4,3557145,93735,330739,765,2,336880,Poor,0.79,1
APP-0303,Manufacturing,13,1828244,58125,704911,339,1,287933,Good,0.14,0
APP-0304,Manufacturing,8,3952216,63531,728590,602,1,208504,Average,0.24,0
APP-0305,Manufacturing,18,4832337,139196,376042,474,2,480683,Good,0.54,1
APP-0306,Trading,12,3191537,78845,300515,831,0,350767,Poor,0.31,1
APP-0307,Manufacturing,14,1230859,18878,472574,760,2,482505,Poor,0.7,1
APP-0308,Services,2,4637749,131089,169950,492,3,314426,Poor,0.2,1
APP-0309,Services,18,3576844,68001,177229,543,1,295608,Poor,0.77,1
APP-0310,Manufacturing,2,2030425,23031,15914,579,3,198878,Good,0.74,1
APP-0311,Manufacturing,11,4800411,159223,224772,335,0,484843,Average,0.72,1
APP-0312,Services,9,1511742,28684,299324,839,2,304138,Good,0.22,0
APP-0313,Services,12,2991616,65433,931192,453,0,212668,Average,0.33,0
APP-0314,Trading,17,2524370,72026,876651,322,0,239103,Poor,0.66,1
APP-0315,Services,15,2128937,68882,875048,390,0,369453,Good,0.67,1
APP-0316,Trading,17,3791372,114330,237561,689,0,123189,Good,0.59,0
APP-0317,Trading,18,577340,12389,937420,658,0,91123,Average,0.41,0
APP-0318,Trading,6,1405097,30878,197435,849,3,244460,Good,0.32,0
APP-0319,Trading,17,2105397,32329,629501,527,2,488481,Good,0.77,1
APP-0320,Trading,18,1297486,25824,430576,501,0,287738,Good,0.2,0
APP-0321,Manufacturing,8,2477115,79278,572093,649,0,183635,Good,0.13,0
APP-0322,Services,9,1998697,52979,416669,337,2,380550,Good,0.11,0
APP-0323,Trading,6,1129037,9743,136599,799,0,211424,Good,0.64,0
APP-0324,Services,5,4002910,45016,688063,342,0,105021,Good,0.14,0
APP-0325,Services,12,4201951,132061,200093,816,1,217912,Poor,0.48,1
APP-0326,Trading,11,3205200,94717,84176,367,1,290530,Good,0.36,1
APP-0327,Manufacturing,1,905695,18555,104799,422,0,247804,Good,0.2,0
APP-0328,Trading,11,162036,3849,632673,635,2,66652,Good,0.62,0
APP-0329,Manufacturing,19,4432978,69041,769942,452,1,356979,Good,0.14,0
APP-0330,Services,9,2434819,68550,98919,461,0,360267,Good,0.32,1
APP-0331,Manufacturing,2,3881854,90898,934914,513,3,279684,Average,0.49,1
APP-0332,Manufacturing,12,939694,24153,615750,675,1,375627,Good,0.38,0
APP-0333,Manufacturing,4,640348,11338,189340,742,0,295900,Good,0.28,0
APP-0334,Services,4,2810911,53672,699608,722,0,436642,Poor,0.75,1
APP-0335,Services,18,1421446,19225,41159,837,0,136659,Good,0.75,0
APP-0336,Manufacturing,15,3474404,111301,52039,529,1,476964,Good,0.39,0
APP-0337,Manufacturing,19,959121,30689,767262,358,0,212411,Poor,0.38,1
APP-0338,Trading,13,3671301,105649,57800,395,1,89792,Good,0.32,1
APP-0339,Manufacturing,19,2190314,69481,312905,561,0,311183,Average,0.7,1
APP-0340,Trading,17,4116981,102786,628914,653,1,403485,Good,0.5,0
APP-0341,Manufacturing,6,4517801,64151,489319,611,2,6088,Good,0.16,0
APP-0342,Trading,16,2259465,61770,128368,435,1,362793,Poor,0.7,1
APP-0343,Services,12,2175629,35822,709023,772,1,42044,Good,0.47,0
APP-0344,Manufacturing,19,2233525,43208,615191,729,3,420297,Good,0.39,0
APP-0345,Manufacturing,5,4124669,62662,967916,836,1,192460,Poor,0.34,1
APP-0346,Manufacturing,17,743464,14069,128998,445,0,141615,Good,0.17,0
APP-0347,Manufacturing,1,768730,19461,251324,823,1,3005,Average,0.77,0
APP-0348,Trading,10,1627415,18062,519662,386,2,299347,Average,0.62,1
APP-0349,Manufacturing,15,4312663,47281,438583,408,0,278364,Good,0.19,1
APP-0350,Services,11,3643824,92653,523520,722,0,108991,Good,0.46,0
APP-0351,Services,13,4718223,131274,933317,644,1,32696,Good,0.49,0
APP-0352,Manufacturing,5,1408356,31152,332038,565,1,210755,Average,0.22,0
APP-0353,Services,1,1565719,20157,243229,793,2,46381,Good,0.4,0
APP-0354,Manufacturing,12,4191426,80065,847876,632,0,441200,Good,0.55,0
APP-0355,Manufacturing,11,866117,23634,961773,712,0,236004,Good,0.3,0
APP-0356,Services,17,887566,22612,71748,490,3,131148,Good,0.33,0
APP-0357,Manufacturing,4,1206543,13368,51190,441,0,366200,Good,0.19,0
APP-0358,Services,15,144455,4703,50318,372,0,150018,Poor,0.39,1
