business_type,years_in_operation,annual_revenue,ebitda,loan_amount,loan_term_months,promoter_credit_score,existing_debt,default_flag
Retail,9,20037227.61,-2134523.47,4657082.49,48,587,1342287.03,1
Tech,11,15116884.13,3121176.13,4258482.0,12,692,1404968.17,0
Manufacturing,13,15177252.11,2248228.91,1355414.02,24,707,1826481.11,0
Manufacturing,9,31580773.54,8951116.38,447610.49,12,699,101537.06,0
Services,12,29153812.33,3991609.56,3392928.06,36,350,931196.04,0
Tech,13,42027208.35,-4885359.16,1326231.67,24,353,1074164.85,0
Tech,8,38614680.88,10445556.29,3152163.33,24,495,1684046.15,0
Logistics,14,27261438.52,478221.77,3657847.54,12,568,1939073.73,1
Services,3,39861716.64,9467183.58,2250959.96,36,645,50701.49,1
Manufacturing,7,21701566.51,-284289.23,385148.62,36,812,884704.46,0
Retail,6,35872498.17,139241.76,1471676.1,60,571,1033392.51,1
Tech,5,30780176.94,4562852.28,1313881.85,24,734,1515692.22,0
Tech,14,5044053.76,1732661.76,1625925.22,24,752,948347.66,0
Logistics,5,23936852.65,7087196.48,2225873.08,24,322,96117.85,1
Tech,4,2742548.48,480583.44,3166713.59,48,741,1002079.77,0
Manufacturing,13,8565254.14,3063438.1,3247854.46,48,796,1734397.87,0
Services,4,28985971.8,4843499.2,3252112.27,60,726,1882929.62,0
Services,1,32748496.21,9038237.3,1442409.52,36,311,201556.0,0
Tech,3,31103567.27,6160604.91,3313040.91,36,717,521389.06,0
Services,10,34988489.69,791939.69,4399612.87,60,719,835892.06,1
Logistics,4,9283257.42,-467587.01,4053490.22,36,398,825235.35,1
Retail,7,29236928.61,-3516324.36,2853146.79,60,668,1359689.56,1
Logistics,3,5604631.51,-793233.27,2575736.62,60,641,595270.35,0
Services,4,1036463.75,-148451.86,547304.72,48,754,1913601.77,1
Retail,4,28885175.46,603632.94,2297383.06,48,398,1204881.85,0
Logistics,5,37742539.21,-2828706.17,3969128.9,60,408,1861858.21,1
Manufacturing,14,27701679.68,3741989.96,4449750.5,60,534,1411662.97,1
Tech,9,38194776.27,1110290.14,595501.11,60,818,852182.95,0
Services,9,41182072.93,-977882.17,498609.03,36,464,466456.14,1
Logistics,13,18846786.28,-1652481.33,4741518.03,48,516,1183777.48,1
Manufacturing,12,4633285.48,-307131.92,2836180.82,48,390,497448.31,0
Manufacturing,14,24884942.66,9784456.19,2396437.15,60,357,1481947.72,1
Retail,9,37338477.02,-321994.19,1263781.71,48,804,749741.16,0
Manufacturing,8,26654321.0,3683587.21,4030335.32,12,472,86319.82,1
Logistics,6,46269844.85,-7008466.99,1339651.82,36,831,150869.09,0
Tech,1,34939560.1,4446945.13,3175034.59,60,558,1802316.02,0
Logistics,12,47955769.17,17517363.03,2033156.81,36,707,1240265.2,0
Services,12,32518993.9,5431939.23,1224034.25,48,839,155469.27,1
Manufacturing,11,35059004.84,2746598.87,1616685.32,60,760,1369462.35,0
Services,14,4271918.79,-701957.83,2141531.38,36,749,165496.84,1
Retail,11,2738324.17,1052008.87,1944670.5,24,364,960740.16,1
Manufacturing,11,29909470.41,5128441.88,4852580.55,48,760,127023.66,0
Logistics,1,1176762.26,417497.08,3489400.55,36,736,1170299.06,1
Logistics,10,42557545.84,10707101.43,2307666.26,48,300,1908102.05,0
Services,14,43971923.04,-2383255.33,329792.69,12,394,227115.18,1
Logistics,2,24072429.49,-2378907.15,1608108.47,12,353,1935947.53,0
Logistics,11,20472401.88,6542792.58,241035.11,60,506,1569336.53,0
Logistics,11,11041725.99,3513224.52,171268.86,48,605,1179835.37,0
Retail,11,5004603.51,-179356.08,2782486.9,36,780,1567306.03,0
Tech,7,26418312.66,-490987.59,4002711.7,60,437,1853175.25,1
Services,12,3778680.9,1407495.31,3141947.85,24,749,657503.22,0
Tech,11,4255234.74,1373045.81,727424.61,36,394,800600.98,1
Services,4,9503064.18,1830286.64,4494263.21,36,494,1030472.11,1
Tech,13,10018306.43,3761661.98,927781.81,60,833,177405.07,0
Retail,9,18121578.47,-2474145.59,730867.15,24,372,184581.17,1
Manufacturing,6,4547072.08,-564506.15,4612274.76,60,636,553755.3,1
Retail,1,30065265.07,-5765140.78,2729294.17,24,355,969045.97,1
Tech,7,26797654.82,-865822.5,405472.68,48,611,266233.86,1
Retail,7,25828033.38,2085146.44,625142.86,12,805,708293.34,0
Tech,9,37001557.7,10753750.61,2863428.95,48,572,422896.01,0
Tech,12,12044212.37,2339514.56,2422452.71,60,693,1578342.48,0
Manufacturing,4,27086773.82,1297329.95,3752653.42,36,668,1128917.09,0
Retail,5,18472573.67,229977.17,2896813.69,36,614,1973030.5,0
Retail,1,872950.98,231157.7,1890248.42,24,815,1701635.04,0
Logistics,14,9081992.97,-1253853.18,493145.35,48,542,36484.96,1
Manufacturing,8,6045925.66,975127.04,4850405.12,36,303,10600.01,1
Tech,14,8958935.58,-10624.69,4653942.35,12,691,953238.97,1
Tech,5,9758665.55,2008259.77,2184638.55,12,524,1472494.37,0
Services,1,30725692.1,6969252.73,2948067.28,12,438,1864028.68,0
Logistics,3,3065265.07,607037.23,758631.92,24,471,403460.92,1
Tech,4,13104712.41,-116653.34,3825116.51,36,849,823681.83,0
Retail,1,42611009.27,-2027632.75,2101739.64,48,675,1981858.95,0
Tech,3,3791565.23,-169378.28,2914918.25,36,648,279544.75,1
Services,14,40077087.98,-3810513.74,1013384.44,48,678,1267517.13,1
Manufacturing,9,43921426.77,7226521.28,4101337.25,48,594,1427564.91,1
Retail,13,15418204.77,-748794.8,2563329.91,24,444,1799149.15,1
Manufacturing,14,3797646.06,997204.0,2759961.62,24,497,1879664.25,0
Tech,8,34839021.57,10450366.7,4405282.67,12,588,1066922.18,1
Services,4,49885784.49,-2566218.14,3564204.26,24,710,1487892.59,0
Logistics,6,35846172.07,3714061.6,3797712.93,24,417,1642514.61,0
Services,4,23121510.85,869953.24,2561212.9,12,560,972714.96,0
Tech,13,36141808.56,553382.42,3500347.38,48,591,1432358.15,0
Logistics,4,9489086.98,-1376585.04,2958619.79,24,322,924011.61,1
Retail,12,45636694.24,14445395.77,593893.55,60,759,204425.33,1
Services,5,46163719.37,-1123771.76,847441.31,24,677,137843.08,0
Tech,14,46751167.23,-7262378.11,2309112.92,48,704,331041.02,0
Retail,7,46081673.19,-5619098.64,2642306.48,12,730,109523.28,0
Retail,4,39495599.49,1491633.5,659909.77,60,543,1074791.21,1
Retail,2,23552156.05,2626013.89,4600428.15,36,478,496452.89,0
Manufacturing,4,21236809.75,-3162321.11,1875730.11,24,362,555174.35,0
Manufacturing,2,33345099.91,9776063.7,4809244.56,48,447,829248.25,0
Retail,13,9630912.14,2121135.71,1618690.94,12,514,853577.81,1
Tech,14,10654412.2,3042765.53,279093.37,60,585,1673129.63,0
Tech,1,38888617.03,4978781.27,2669512.32,36,412,801526.12,1
Services,4,9505442.46,-1112815.2,4735965.76,36,757,1794860.82,0
Tech,1,1756624.61,538068.95,3608263.92,36,648,815968.99,0
Services,3,11938202.43,-37433.98,196581.63,12,353,678542.49,1
Tech,3,32810932.34,8435373.47,587262.82,24,395,1977457.56,0
Retail,14,41595883.3,6725633.47,3373617.17,24,768,812784.62,0
Services,2,1143595.21,398765.8,1118642.65,24,446,245553.78,1
Manufacturing,13,21360515.25,-2896550.52,4105473.45,24,822,518846.87,0
Logistics,7,2194291.49,-215902.27,1791441.51,12,555,1104094.36,1
Logistics,12,11365770.99,-2099580.23,3920818.0,48,457,974862.4,1
Tech,1,24496529.17,2266551.32,3734266.03,60,536,805100.09,0
Tech,6,41829046.72,-7974344.2,2675881.89,12,408,1382443.72,1
Manufacturing,6,45757790.92,15070298.71,2924930.73,12,333,1108356.01,1
Logistics,10,36150027.79,12148316.68,786090.84,24,326,1800037.28,1
Manufacturing,8,12911167.7,260045.92,2521941.87,36,700,837541.05,0
Retail,10,21390784.95,4014562.07,4797273.17,12,591,1541971.85,0
Manufacturing,11,14790339.97,2759823.75,3623324.94,36,526,1898613.59,0
Retail,8,46873072.1,-1853514.0,1153207.86,60,847,1079685.56,0
Retail,4,3045577.77,311197.9,3024529.96,12,781,1246665.1,0
Retail,9,4219320.2,-155748.84,2527907.45,60,341,919363.03,0
Services,2,40071086.01,-673910.82,1433511.17,60,823,721947.79,0
Services,11,48123889.9,-3561559.35,3483745.14,12,796,370265.86,0
Retail,8,38040424.49,632626.29,3819275.64,24,784,1384553.13,0
Retail,9,45216508.73,542645.52,3496558.54,24,788,1888118.68,0
Tech,10,29619055.97,-5912321.95,2823452.25,48,385,1830976.6,0
Retail,5,36685671.74,10434893.87,664881.9,24,776,948428.43,0
Logistics,7,23029612.41,1992965.49,3258278.59,12,825,1192539.76,0
Tech,12,24312563.25,-3184921.81,2698299.15,60,482,808970.9,1
Logistics,8,27204818.97,-2024960.75,1661887.26,48,460,1771955.5,1
Logistics,14,21166551.16,2599978.28,4952672.44,60,550,1749403.35,0
Services,3,3966470.43,1564013.96,358150.8,60,776,75193.55,0
Services,8,13948505.07,2246093.87,549326.74,36,658,1045038.38,0
Services,1,5968468.6,1117456.71,1507471.06,12,623,1431106.63,0
Manufacturing,1,45561785.55,16991793.79,636391.23,24,643,248875.11,1
Services,5,39424078.21,13654663.48,2146145.8,60,739,1768397.96,0
Manufacturing,14,30863863.77,9252357.73,4956726.27,24,609,1215473.59,0
Tech,10,2823795.18,478762.14,279986.49,60,805,1559168.95,0
Logistics,5,31674007.19,8558493.68,2639475.8,60,319,1989815.65,0
Tech,10,26004772.25,2737995.54,4982045.3,12,302,1631666.25,0
Services,8,37519644.4,14222980.71,4485115.06,60,656,182973.67,0
Services,3,14011489.06,1597224.32,317445.65,48,631,70844.74,0
Manufacturing,9,27767439.85,9657736.16,2101420.74,36,337,519507.57,1
Logistics,10,26863824.71,-4762235.73,636397.41,12,413,990293.05,1
Services,13,45372429.11,2595694.73,3344348.85,36,339,1131463.93,0
Tech,6,26302385.45,-3179865.88,1301899.11,48,662,477380.06,1
Retail,4,31121263.22,-1606790.31,877165.02,36,330,1651633.5,0
Logistics,11,11816945.5,-1716066.11,105488.55,60,557,1664268.36,1
Services,7,10060076.8,3516409.96,1699524.52,12,532,1263627.05,0
Tech,12,949084.03,-86563.73,729398.72,60,766,1522055.81,1
Logistics,2,17422672.22,355890.56,4666937.72,12,577,1874456.97,1
Tech,2,47391245.47,14225593.55,3877823.03,48,700,1164340.92,0
Retail,10,4197373.68,-467792.24,4951727.03,48,584,891916.61,1
Tech,4,38034028.2,14652527.6,208405.4,24,378,1637571.29,0
Retail,7,22572183.97,5323062.72,4985910.05,48,398,902774.05,0
Logistics,7,41383077.91,9144639.77,4215741.11,12,383,1309022.43,0
Manufacturing,1,48180214.35,18367194.43,3683223.33,60,602,839454.63,0
Logistics,6,38124656.88,5132369.62,1628564.75,48,826,1491674.02,0
Manufacturing,1,32757507.86,5859800.38,4335355.42,24,507,1086465.61,0
Logistics,9,43496846.81,-2868969.88,3877517.04,60,498,1252440.64,0
Services,5,45635883.73,-8237585.43,1008748.49,36,826,963044.7,0
Services,1,30561669.19,7685527.14,2836222.1,36,800,537986.81,0
Tech,11,49225394.67,15272258.16,2376533.12,12,619,791090.17,1
Services,6,14937297.65,-253771.72,4314599.75,48,401,1815637.31,1
Retail,3,5694043.83,1450688.57,4934646.71,48,762,997776.31,0
Logistics,4,17627820.1,-1154319.75,4712063.77,12,301,1068484.41,1
Logistics,14,2143553.89,756359.21,2044924.05,12,493,1954932.77,0
Manufacturing,10,40129041.61,11232514.16,920664.65,60,604,1903099.95,0
Services,11,2063514.17,-333726.67,354659.29,36,715,597671.77,1
Retail,8,35847303.14,-2904952.52,1763305.94,24,550,968796.9,1
Retail,4,30075055.2,-2114262.31,2456428.77,12,426,1052805.32,1
Retail,11,36378914.71,1601865.88,3286441.51,12,836,1743567.13,0
Tech,7,23774038.34,-1107096.09,4371980.62,24,608,1317415.55,0
Logistics,2,1532626.39,12325.67,1728341.66,12,611,1949586.32,0
Manufacturing,10,20461437.38,5476776.36,2150158.96,24,506,515365.78,0
Logistics,14,48058637.3,7230690.16,4246601.93,60,815,1470700.6,0
Services,12,2485404.97,-298792.65,2935509.5,60,719,58788.89,0
Services,4,43734450.29,-6141240.42,2166432.54,60,670,567709.06,0
Services,3,31336845.89,660075.18,3692253.81,60,819,810620.37,0
Logistics,10,12258394.58,-2241288.78,986787.07,24,617,194786.79,0
Manufacturing,14,25983459.02,4792908.29,3005459.17,24,444,782163.07,1
Manufacturing,2,42970319.57,16955304.22,2983221.9,24,759,261747.32,1
Tech,11,44243628.65,5963394.11,1721357.88,36,660,861775.05,0
Manufacturing,11,47454876.07,11791745.67,1860328.66,24,583,73342.85,1
Retail,5,26908840.3,-1858706.56,3556389.41,24,455,1728432.36,1
Logistics,11,6040021.16,1438432.45,379725.59,60,810,462261.82,0
Logistics,1,6544440.74,842142.45,4675987.59,48,460,1014469.62,0
Services,10,20170259.93,2260314.65,3461241.91,12,425,1903623.57,0
Logistics,9,29215555.37,7229834.77,2656477.23,48,727,1064489.98,0
Manufacturing,14,15742532.11,-359062.88,1089081.92,48,674,324763.79,0
Logistics,7,33793804.85,4519916.95,4353897.05,48,385,510613.05,1
Tech,7,47258403.86,-470165.21,2536156.34,36,444,1661754.38,1
Tech,1,2004159.45,-317798.0,3478681.08,12,300,431350.3,1
Retail,5,33515090.09,1799386.91,1808010.97,60,460,813815.92,1
Retail,9,4978843.92,1129145.25,634637.2,12,680,1530381.73,1
Services,3,40488374.13,-2322861.79,4009286.88,60,664,1635668.43,0
Retail,6,32629195.61,6622789.05,3188022.87,12,442,1390934.41,0
Retail,9,30026031.01,2179525.54,2277655.32,12,401,146391.85,0
Tech,14,32307510.46,-1796510.71,2552182.01,48,384,1726667.3,1
Retail,6,45754707.54,-4038300.1,633699.88,60,432,797645.56,1
Tech,12,24096426.01,3936893.5,2792129.77,48,797,1430981.81,0
Tech,5,10191010.29,4030160.11,3272626.1,12,423,1909320.06,1
Logistics,3,3483235.82,-559622.3,1822951.17,12,633,971743.52,0
Retail,4,33669753.71,-5311859.08,2708075.05,60,443,179252.68,1
Manufacturing,2,13994888.04,2125411.19,697241.86,24,758,246445.31,0
Services,7,26495587.49,-673723.36,623696.92,24,744,513125.57,1
Tech,4,4808428.65,-430110.03,1930197.45,36,661,224608.69,0
Manufacturing,6,41049848.54,-5357985.42,1217590.88,24,820,1293211.83,0
Retail,9,42073134.49,-5890822.55,1831764.76,12,453,511290.0,0
Tech,8,41219408.77,6008019.33,3370994.51,60,445,1533312.27,0
Tech,7,29537118.93,8837254.19,3710681.35,24,525,945783.93,0
Tech,6,1670110.01,24746.19,3074760.78,60,459,1275921.59,0
Tech,13,29926578.59,3050711.97,4940149.05,36,562,1390289.11,0
Tech,6,22566650.27,-783290.93,177523.35,24,579,256788.58,0
Tech,10,17192743.07,-2463975.83,3885851.36,48,335,171316.5,1
Retail,3,20358801.74,3661049.06,1783446.33,48,816,139863.21,0
Logistics,8,44063914.83,417442.96,2711493.15,60,680,913717.29,0
Services,2,49709898.38,143984.03,2833138.75,60,653,892704.7,0
Services,6,28333692.39,-4946359.18,958984.42,24,586,1509675.64,0
Tech,10,5285484.26,685936.61,3805200.31,12,699,1329823.45,0
Retail,14,12114783.05,1943337.81,846838.47,60,816,1474360.45,0
Manufacturing,1,42180648.07,3687652.17,3155569.87,12,755,1510540.84,0
Manufacturing,12,39210390.34,-989937.61,277185.86,48,780,454714.6,0
Logistics,9,4838315.96,-784652.41,2813630.98,60,479,559407.08,1
Services,2,26026131.67,-3946477.26,2535121.07,48,641,1133150.72,0
Tech,12,46564463.12,15374661.94,4105503.57,36,457,1755948.64,1
Manufacturing,6,7493263.44,2044240.99,4111801.52,36,698,805960.36,0
Tech,2,11568914.51,-2017546.18,2907903.0,36,565,1644961.13,0
Tech,6,16029520.71,579906.92,782070.32,48,635,1529619.6,0
Retail,3,47663477.62,-4533771.94,3364903.74,60,781,136344.62,0
Manufacturing,9,12011292.24,4228224.26,3905945.79,24,427,864995.76,0
Retail,14,43867207.03,10236343.7,4272098.32,36,342,1239175.91,1
Logistics,3,19629811.64,1204001.28,1039734.03,60,644,116327.59,1
Logistics,13,31165138.69,6905788.69,2208652.17,12,398,149259.63,1
Logistics,14,5501767.65,-84159.47,405229.81,60,559,1266379.25,0
Retail,5,30953362.19,6693597.33,3157089.6,48,423,1696031.77,1
Retail,5,44386908.65,5776033.39,1053650.31,48,818,1051009.24,0
Manufacturing,7,36813911.84,-2267108.78,154053.2,48,685,267607.47,0
Retail,6,13360753.83,-750525.57,771837.56,36,722,1237896.39,0
Manufacturing,10,12439472.15,-2307823.78,4027531.85,60,472,85266.42,1
Manufacturing,1,27623994.7,3518567.63,4237349.71,60,482,298475.56,0
Services,2,16571458.38,-702865.92,2432488.83,48,735,1719130.46,0
Tech,10,44658192.1,-7734835.13,3955826.59,24,692,1885662.28,1
Logistics,13,14328701.84,-2266676.41,1339986.32,48,531,922954.93,1
Services,2,19624271.04,2549690.1,1212127.0,48,472,300338.0,1
Manufacturing,1,22442017.83,8332755.06,286307.06,12,386,1432646.78,0
Logistics,8,5715692.93,2164289.88,2592038.52,12,531,706502.82,0
Manufacturing,11,48552122.9,-8029998.41,3940829.12,36,790,824261.86,0
Manufacturing,6,38336446.78,9238015.74,202630.31,60,667,1935720.07,0
Logistics,8,31420846.66,5367818.55,1107867.58,60,681,521426.6,0
Services,9,26749955.6,10026666.22,4845595.01,12,448,250467.14,0
Manufacturing,2,30293138.69,1531209.26,3765558.58,36,587,1232999.45,0
Logistics,10,17244241.55,-2704762.46,1200616.5,36,787,864153.77,0
Tech,9,8602348.17,2027790.38,4648755.91,60,471,394940.98,1
Retail,8,49624562.32,-142569.43,1652920.14,24,338,1693028.68,1
Manufacturing,2,31985502.8,8551707.27,4894146.67,36,601,1456981.35,0
Manufacturing,12,3165981.25,658410.44,3790617.95,36,644,1874776.13,0
Manufacturing,2,5843213.87,-65320.18,550167.35,12,762,1011705.39,1
Logistics,13,20964114.24,-1151160.62,3742776.55,48,814,595096.9,0
Logistics,13,5140967.57,276051.09,4397978.36,24,528,320143.27,0
Services,8,12710603.79,-456018.7,4959868.76,36,403,387907.73,1
Services,2,10599763.91,709643.92,3692049.35,12,530,1229956.48,1
Logistics,13,27165435.53,2322766.92,4255434.18,36,613,70622.71,0
Tech,14,37602501.48,-2075877.46,3424056.23,24,369,1753301.52,1
Tech,4,19576106.21,273691.43,3923958.9,12,526,275645.8,1
Manufacturing,6,34933098.25,13905784.95,3135987.75,36,487,1588394.66,0
Tech,7,43775992.3,4112061.61,3644683.35,60,635,450877.51,0
Manufacturing,8,30372639.5,-178614.27,4044446.1,24,458,45865.62,0
Tech,14,7875486.94,-135847.34,3755033.52,36,613,1415361.87,1
Services,3,22289850.4,6943923.3,1708144.49,60,482,471715.2,0
Services,1,30112152.06,-1246578.91,4991902.81,12,417,1285130.4,1
Tech,4,25060236.01,7343865.07,3460965.23,60,377,1494439.18,1
Services,10,29594583.36,8562134.63,1874953.66,48,349,330588.22,1
Services,14,41669003.66,9840448.32,2638585.95,24,725,1705456.04,0
Services,5,42175711.56,12160908.79,4032952.22,60,373,1874706.59,1
Services,10,4489774.93,-165060.22,2532659.65,60,612,14058.41,0
Retail,14,30706144.9,9788736.72,3781737.92,24,847,26805.25,0
Services,10,14468260.2,3515448.52,1310196.12,36,519,1574253.21,1
Services,6,21729900.5,-2322354.04,1413881.2,60,527,67227.2,0
Services,10,28318645.95,5449859.17,1644428.65,48,818,172849.22,0
Retail,8,27641868.89,8934047.59,4422464.51,24,725,1655736.75,0
Logistics,14,36675637.77,-6923562.87,1356997.31,24,430,1450311.46,0
Retail,1,23464658.09,-4298800.4,3081783.64,60,744,228191.57,0
Services,4,21190501.73,7346659.07,3450395.12,48,588,1046781.82,0
Logistics,2,20496904.88,1526456.12,3979329.94,36,476,1087076.43,0
Tech,6,42422477.04,6058849.09,790702.17,48,321,1699950.74,1
Services,2,43168351.97,5348672.83,3771490.19,12,643,1573940.27,0
Tech,11,23232373.94,8568704.79,3952763.18,36,331,517241.67,0
Logistics,4,37959199.53,3354396.93,1103918.24,24,512,1319258.73,0
Retail,14,12320412.46,1592492.08,4926449.32,24,325,1115961.48,0
Retail,8,23464603.15,-3414853.52,2739638.81,48,526,210947.4,1
Retail,9,20170378.83,6937707.02,2261253.58,36,803,373446.59,0
Logistics,12,39746293.74,2124200.15,3209453.85,24,537,1066057.73,0
Retail,4,28112099.5,8444295.92,3106018.38,24,558,1794372.68,0
Tech,6,7465220.64,2081233.33,1002701.71,24,559,1597186.54,1
Logistics,3,44179610.24,-3629890.49,2575513.19,12,315,1976831.98,1
Tech,5,33562039.94,644298.4,913178.99,12,401,1959564.92,1
Tech,11,34499619.38,11874137.93,243884.38,60,681,758054.25,1
Services,12,42979764.13,-3929988.33,2749889.4,48,510,1519164.82,1
Manufacturing,2,41171026.44,5123358.83,1853211.5,12,525,1638510.21,1
Services,14,9101198.86,-247629.17,4147293.24,24,489,1438154.89,1
Manufacturing,2,17723099.87,2300270.72,3769249.05,36,578,1241857.13,0
Tech,5,40406696.11,-4292904.2,1344476.89,12,588,252529.48,1
Manufacturing,2,16088519.64,6398560.63,3440180.46,36,753,1711474.52,0
Tech,8,4097208.14,1449400.46,1767862.45,60,741,1025309.51,0
Retail,5,2142873.05,466358.09,3300497.67,12,759,465526.29,0
Services,12,33416752.72,8147936.16,4545255.65,36,550,376.8,0
Logistics,2,22629249.42,2801162.48,4336361.69,24,846,825522.26,0
Services,11,21416147.2,8026454.9,3725530.19,48,453,1932486.82,0
Retail,9,14964802.41,-2191776.34,3794413.33,36,583,36013.11,1
Tech,9,15585179.22,-1521687.01,1479453.87,24,697,436886.37,0
Retail,4,5278456.27,1345286.91,160779.78,60,675,567656.89,0
Tech,5,15213271.48,3347658.07,3741646.67,12,367,1754478.91,1
Logistics,13,29864467.72,-4043096.4,1008117.88,12,315,479020.34,1
Logistics,14,21744538.37,5204207.23,3966888.15,24,768,1042891.38,0
Retail,4,11401152.42,1219640.82,3714072.17,48,500,1819253.64,1
Manufacturing,1,3702001.23,-642277.56,223195.6,60,642,860854.82,0
Logistics,12,23489445.19,7457563.77,1769996.93,48,705,1214179.16,0
Retail,4,39545712.06,642090.41,3414489.18,60,647,208449.61,0
Manufacturing,13,48552927.22,11768968.07,1430686.95,12,646,1487187.83,0
Manufacturing,7,20645109.53,-2784777.73,114313.06,60,561,91297.49,0
Manufacturing,12,23747267.85,3080515.03,2417559.6,48,723,939487.53,0
Logistics,4,10746132.63,967758.27,126978.42,12,601,98993.71,0
Services,4,5847274.83,1150063.12,4032669.83,60,617,793593.69,0
Logistics,9,20152244.54,7007828.98,3123625.93,24,482,1748445.05,0
Manufacturing,11,2720251.62,352658.29,4654190.8,36,300,779744.71,1
Services,8,45426744.63,-1291009.31,3078735.55,12,539,593455.28,1
Tech,12,41149314.99,16421084.19,3218366.71,60,642,1435144.25,0
Manufacturing,1,30387874.92,-363255.08,660989.43,60,719,738106.04,0
Tech,12,27704391.01,-3883955.06,2080774.68,24,340,1883451.42,1
Retail,9,32499279.46,-4316666.05,3033592.77,24,509,277742.65,0
Tech,7,43748080.38,-1504226.7,690736.24,60,813,1059983.05,1
Logistics,14,7535787.63,2961383.93,2167967.87,48,718,897706.14,0
Retail,10,45551664.52,-3863399.65,1158651.69,36,578,1633446.41,0
Manufacturing,5,34778394.92,4939970.29,3397536.45,12,674,1085068.74,0
Retail,14,22597766.06,-1785860.87,4129869.63,48,455,1158532.71,1
Tech,7,16283907.51,825280.68,1918744.87,60,417,1411171.73,1
Services,7,25828228.64,7764559.36,3264128.5,24,720,1780194.07,0
Tech,4,17318556.94,1552718.97,1956660.36,24,718,681208.33,0
Logistics,14,30001447.69,10177812.66,4250983.5,60,691,729187.46,0
Services,12,28204578.02,9500556.67,920062.69,36,733,971179.4,0
Retail,11,26829678.97,8545965.66,586580.79,36,729,61911.58,0
Retail,10,20073996.27,4257217.72,820603.07,36,544,578489.54,1
Logistics,13,18834650.82,3298283.73,2422631.5,36,500,1968026.33,0
Manufacturing,14,19779353.8,3336635.7,1767896.81,12,367,1960217.98,0
Manufacturing,13,27314388.21,-1560773.85,4184884.81,36,653,518669.79,0
Logistics,1,25618595.12,-164788.87,1251682.35,24,438,1115417.65,1
Manufacturing,12,29357729.1,-5866504.58,837555.31,48,438,414618.01,1
Tech,3,44075580.73,1144044.51,2889949.07,12,464,1461636.06,0
Tech,5,24039528.86,1783378.45,1215973.71,24,363,1186029.0,0
Retail,6,26902638.12,-3281624.04,740196.48,24,694,1098644.96,0
Services,8,14150494.63,-1786561.48,4725806.26,12,828,1898224.29,0
Services,12,24428668.08,-2885722.25,2984784.46,60,527,571567.11,0
Manufacturing,8,22340573.83,816476.89,4601800.08,48,798,1154558.06,0
