sk_id_curr,amt_income_total,amt_credit,amt_annuity,amt_goods_price,name_contract_type,term,int_rate,grade,fico_score,dti,emp_length,home_ownership,business_type,monthly_cashflow,operating_expenses,repayment_history,target
100037,25000.0,44141.42,1348.77,10914.03,Cash loans, 36 months,12.75,C,689,39.41,1,OWN,Trading,625.0,1458.33,Good,1
100038,55464.61,13488.01,412.13,10810.9,Cash loans, 36 months,7.17,A,823,36.53,0,OWN,Manufacturing,1386.61,3235.44,Poor,1
100039,251462.76,480972.05,14696.37,164956.2,Cash loans, 36 months,25.34,F,546,4.54,8,OWN,Trading,6286.57,14668.66,Good,1
100040,27532.75,7378.11,135.27,6529.14,Cash loans, 60 months,7.57,A,789,16.82,21,RENT,Trading,688.32,1606.08,Average,0
100041,37621.36,49269.84,1505.47,6725.49,Cash loans, 36 months,24.6,F,497,36.42,5,MORTGAGE,Trading,940.53,2194.58,Average,1
100042,114205.19,146129.06,4465.05,45840.13,Cash loans, 36 months,7.07,A,779,13.66,23,OWN,Services,2855.13,6661.97,Good,0
100043,267527.53,267668.55,8178.76,69186.92,Cash loans, 36 months,19.24,E,618,3.55,24,RENT,Manufacturing,6688.19,15605.77,Good,0
100044,25000.0,6383.55,117.03,8817.65,Cash loans, 60 months,20.61,E,583,11.08,14,MORTGAGE,Manufacturing,625.0,1458.33,Good,0
100045,206678.93,319094.76,9750.12,344869.35,Cash loans, 36 months,6.06,A,786,29.98,21,OWN,Trading,5166.97,12056.27,Good,0
100046,25000.0,3453.38,105.52,1095.32,Cash loans, 36 months,10.78,B,720,4.79,22,OWN,Manufacturing,625.0,1458.33,Good,0
100047,937099.23,1138573.81,20873.85,737214.38,Cash loans, 60 months,20.14,E,612,25.84,3,MORTGAGE,Services,23427.48,54664.12,Poor,1
100048,25000.0,14182.99,433.37,3969.12,Cash loans, 36 months,7.79,A,756,6.93,20,OWN,Services,625.0,1458.33,Good,0
100049,126555.26,130658.52,2395.41,160878.82,Cash loans, 60 months,24.41,F,525,33.54,5,RENT,Trading,3163.88,7382.39,Good,1
100050,163967.36,206628.07,6313.64,180150.2,Cash loans, 36 months,25.07,F,425,19.25,11,OWN,Manufacturing,4099.19,9564.76,Good,1
100051,25000.0,35017.15,1069.97,7291.87,Cash loans, 36 months,13.59,C,692,24.24,11,OWN,Services,625.0,1458.33,Poor,0
100052,146267.3,33106.57,606.95,28528.25,Cash loans, 60 months,17.59,D,639,5.59,1,OWN,Trading,3656.68,8532.26,Average,0
100053,226368.42,413110.06,12622.81,364553.11,Cash loans, 36 months,7.25,A,850,35.99,26,MORTGAGE,Manufacturing,5659.22,13204.82,Average,0
100054,25000.0,28318.76,519.18,26516.47,Cash loans, 60 months,10.26,B,701,37.59,14,OWN,Trading,625.0,1458.33,Good,0
100055,758289.07,1211999.73,37033.33,566710.59,Cash loans, 36 months,6.68,A,850,35.07,29,RENT,Trading,18957.23,44233.53,Good,0
100056,36267.96,40828.12,1247.53,25045.31,Cash loans, 36 months,25.2,F,480,0.49,23,MORTGAGE,Trading,906.7,2115.63,Good,0
100057,40222.91,34656.77,1058.96,49244.67,Cash loans, 36 months,9.04,B,718,24.46,7,MORTGAGE,Services,1005.57,2346.34,Poor,1
100058,1864891.2,726979.69,22213.27,661604.27,Cash loans, 36 months,7.87,A,759,29.46,4,MORTGAGE,Trading,46622.28,108785.32,Poor,0
100059,48793.54,90248.51,1654.56,70236.54,Cash loans, 60 months,17.61,D,641,13.41,3,OWN,Manufacturing,1219.84,2846.29,Good,0
100060,65541.58,49759.89,912.26,33753.47,Cash loans, 60 months,19.28,E,605,18.1,5,OWN,Manufacturing,1638.54,3823.26,Good,1
100061,85132.64,110783.29,3385.04,110263.28,Cash loans, 36 months,20.0,E,620,39.87,28,MORTGAGE,Manufacturing,2128.32,4966.07,Good,1
100062,25000.0,24741.01,755.98,14017.98,Cash loans, 36 months,24.59,F,508,23.5,18,OWN,Services,625.0,1458.33,Good,0
100063,569461.19,224912.38,6872.32,290739.38,Revolving loans, 36 months,24.82,F,559,25.76,29,MORTGAGE,Services,14236.53,33218.57,Poor,1
100064,411932.67,436840.17,13347.89,222310.96,Cash loans, 36 months,25.11,F,482,35.5,23,OWN,Trading,10298.31,24029.41,Average,1
100065,108350.67,205257.18,6271.75,125122.41,Cash loans, 36 months,10.7,B,723,29.44,10,RENT,Manufacturing,2708.76,6320.46,Average,0
100066,465587.53,343671.17,6300.64,187159.48,Cash loans, 60 months,6.69,A,795,33.23,14,MORTGAGE,Trading,11639.69,27159.27,Good,0
100067,249305.61,436307.04,13331.6,585449.15,Cash loans, 36 months,13.08,C,663,10.75,11,OWN,Manufacturing,6232.64,14542.83,Good,0
100068,249411.64,451706.27,13802.14,462897.65,Cash loans, 36 months,25.63,F,579,21.19,3,OWN,Manufacturing,6235.29,14549.01,Good,1
100069,272295.27,99669.66,3045.46,39842.71,Cash loans, 36 months,7.15,A,771,19.77,22,OWN,Manufacturing,6807.38,15883.89,Good,0
100070,111771.41,50331.2,1537.9,58206.97,Cash loans, 36 months,24.87,F,463,33.48,27,RENT,Manufacturing,2794.28,6520.0,Average,1
100071,153482.47,54716.87,1671.9,22153.05,Cash loans, 36 months,10.91,B,728,33.86,14,RENT,Services,3837.07,8953.14,Good,0
100072,49425.06,51472.91,1572.78,33572.74,Cash loans, 36 months,10.6,B,724,32.76,7,MORTGAGE,Services,1235.62,2883.13,Good,0
100073,516307.47,185847.66,3407.21,124333.69,Cash loans, 60 months,7.61,A,806,29.29,26,RENT,Services,12907.68,30117.94,Average,0
100074,117571.06,166602.06,5090.62,167414.44,Cash loans, 36 months,11.0,B,701,23.53,24,MORTGAGE,Trading,2939.28,6858.31,Good,0
100075,508563.35,963273.06,29433.34,1245573.69,Cash loans, 36 months,7.19,A,793,1.48,7,RENT,Services,12714.08,29666.2,Good,0
100076,414072.19,359630.95,10988.72,433702.51,Cash loans, 36 months,13.48,C,694,26.47,7,OWN,Manufacturing,10351.81,24154.21,Average,0
100077,302607.7,42489.72,778.98,33711.59,Revolving loans, 60 months,6.96,A,822,16.08,2,RENT,Manufacturing,7565.19,17652.12,Good,0
100078,47662.2,71079.42,2171.87,49824.27,Cash loans, 36 months,25.43,F,547,34.11,6,MORTGAGE,Manufacturing,1191.56,2780.29,Good,1
100079,25000.0,47623.16,873.09,6387.05,Cash loans, 60 months,7.98,A,850,6.68,3,OWN,Services,625.0,1458.33,Good,0
100080,55675.05,10533.51,321.86,580.37,Revolving loans, 36 months,7.6,A,759,33.05,12,OWN,Trading,1391.88,3247.71,Poor,1
100081,45782.96,44886.69,1371.54,50354.22,Cash loans, 36 months,24.95,F,475,10.92,23,RENT,Services,1144.58,2670.67,Poor,1
100082,124107.41,32922.57,1005.97,18404.8,Cash loans, 36 months,9.99,B,733,28.94,24,MORTGAGE,Trading,3102.68,7239.6,Poor,0
100083,533686.58,724753.22,22145.24,939816.0,Cash loans, 36 months,6.31,A,810,9.81,25,MORTGAGE,Manufacturing,13342.16,31131.72,Good,0
100084,125375.94,220223.18,6729.04,272795.99,Cash loans, 36 months,17.49,D,637,13.4,4,RENT,Services,3134.4,7313.6,Good,0
100085,155269.65,40336.98,1232.52,33873.64,Cash loans, 36 months,12.04,C,677,11.33,6,OWN,Manufacturing,3881.74,9057.4,Poor,1
100086,440556.72,189497.37,3474.12,269265.69,Cash loans, 60 months,25.42,F,555,30.84,28,MORTGAGE,Trading,11013.92,25699.14,Good,1
100087,134173.59,260413.22,4774.24,50814.27,Cash loans, 60 months,13.37,C,686,30.82,13,RENT,Trading,3354.34,7826.79,Good,0
100088,182181.6,200644.94,3678.49,89800.98,Cash loans, 60 months,12.46,C,695,30.91,12,RENT,Services,4554.54,10627.26,Good,0
100089,90296.32,77242.12,2360.18,114006.78,Cash loans, 36 months,12.06,C,675,8.52,4,MORTGAGE,Manufacturing,2257.4,5267.29,Average,0
100090,25000.0,43759.6,802.26,50602.85,Cash loans, 60 months,7.25,A,850,30.44,27,OWN,Manufacturing,625.0,1458.33,Poor,1
100091,1109464.07,586380.91,17917.19,573057.87,Cash loans, 36 months,24.3,F,554,39.37,3,MORTGAGE,Manufacturing,27736.6,64718.74,Good,1
100092,37975.03,65857.53,1207.39,3913.8,Cash loans, 60 months,24.48,F,457,4.2,10,MORTGAGE,Manufacturing,949.38,2215.21,Good,1
100093,65713.23,7791.26,238.07,6050.44,Cash loans, 36 months,12.79,C,673,3.14,0,MORTGAGE,Trading,1642.83,3833.27,Poor,1
100094,262709.04,360891.91,6616.35,67244.97,Cash loans, 60 months,20.23,E,602,23.79,1,OWN,Services,6567.73,15324.69,Good,1
100095,199868.26,148892.93,2729.7,17892.8,Cash loans, 60 months,7.29,A,831,18.09,27,RENT,Manufacturing,4996.71,11658.98,Good,0
100096,1163248.85,1175614.14,35921.54,580196.33,Cash loans, 36 months,17.74,D,653,29.77,22,MORTGAGE,Manufacturing,29081.22,67856.18,Good,1
100097,95821.49,190975.53,3501.22,186294.44,Cash loans, 60 months,16.52,D,649,1.23,18,OWN,Manufacturing,2395.53,5589.59,Average,0
100098,473140.66,380865.76,6982.54,22914.33,Cash loans, 60 months,6.88,A,787,23.15,4,OWN,Manufacturing,11828.52,27599.87,Good,0
100099,806546.66,1601038.11,48920.61,862521.73,Cash loans, 36 months,7.55,A,824,9.43,5,MORTGAGE,Trading,20163.66,47048.56,Good,0
100100,155702.72,273168.72,8346.82,210948.0,Cash loans, 36 months,12.33,C,670,23.72,8,OWN,Services,3892.57,9082.66,Good,0
100101,46139.66,16087.05,294.93,10950.2,Cash loans, 60 months,24.86,F,490,33.16,0,MORTGAGE,Services,1153.49,2691.48,Poor,1
100102,43279.21,58912.9,1800.12,74598.79,Cash loans, 36 months,25.74,F,569,23.41,10,MORTGAGE,Services,1081.98,2524.62,Good,0
100103,67947.34,89419.08,2732.25,24144.55,Cash loans, 36 months,9.79,B,719,27.53,19,OWN,Trading,1698.69,3963.59,Poor,0
100104,508875.85,382186.95,11677.93,72085.15,Cash loans, 36 months,10.88,B,734,5.74,14,MORTGAGE,Services,12721.9,29684.42,Good,0
100105,25000.0,14627.06,446.94,21471.75,Cash loans, 36 months,9.23,B,718,30.74,4,RENT,Manufacturing,625.0,1458.33,Good,0
100106,25000.0,33433.57,1021.58,32991.18,Revolving loans, 36 months,7.95,A,766,1.93,13,OWN,Manufacturing,625.0,1458.33,Poor,0
100107,114205.95,99115.53,3028.53,99253.31,Cash loans, 36 months,7.64,A,772,17.42,10,RENT,Trading,2855.15,6662.01,Good,0
100108,25000.0,23812.95,727.62,13332.34,Cash loans, 36 months,25.21,F,535,2.93,18,OWN,Trading,625.0,1458.33,Good,1
100109,1361083.52,2326932.87,42660.44,2840369.29,Cash loans, 60 months,9.95,B,708,9.84,25,RENT,Services,34027.09,79396.54,Average,0
100110,219168.61,201336.61,3691.17,21526.99,Revolving loans, 60 months,6.76,A,785,26.19,12,RENT,Manufacturing,5479.21,12784.84,Good,0
100111,36271.04,49806.76,913.12,39765.24,Cash loans, 60 months,10.95,B,725,16.0,15,MORTGAGE,Trading,906.78,2115.81,Good,0
100112,198122.68,286720.74,8760.91,243990.27,Cash loans, 36 months,19.97,E,603,38.52,6,MORTGAGE,Services,4953.06,11557.16,Average,1
100113,25000.0,32804.3,1002.35,29205.93,Cash loans, 36 months,20.81,E,594,14.43,26,OWN,Manufacturing,625.0,1458.33,Good,0
100114,38725.09,52989.28,1619.12,49586.78,Cash loans, 36 months,6.34,A,789,23.46,3,OWN,Services,968.13,2258.96,Average,0
100115,25000.0,13436.69,410.57,12858.12,Cash loans, 36 months,16.55,D,645,5.67,15,OWN,Services,625.0,1458.33,Good,0
100116,25000.0,49584.66,1515.09,7743.36,Cash loans, 36 months,24.55,F,508,23.14,8,MORTGAGE,Trading,625.0,1458.33,Good,1
100117,1099125.02,827382.74,25281.14,549063.52,Cash loans, 36 months,16.54,D,647,25.61,7,OWN,Trading,27478.12,64115.63,Good,0
100118,84802.2,69461.92,2122.45,103721.98,Cash loans, 36 months,25.16,F,546,13.34,5,OWN,Trading,2120.06,4946.79,Poor,1
100119,33105.24,9391.47,286.96,10652.23,Cash loans, 36 months,6.47,A,809,37.09,22,MORTGAGE,Services,827.63,1931.14,Good,0
100120,738808.28,198987.98,3648.11,38120.17,Cash loans, 60 months,10.42,B,714,31.28,19,MORTGAGE,Trading,18470.21,43097.15,Good,0
100121,25000.0,13855.13,423.35,17151.67,Cash loans, 36 months,10.13,B,744,22.98,20,OWN,Trading,625.0,1458.33,Good,0
100122,362100.08,402551.82,7380.12,85307.6,Cash loans, 60 months,24.65,F,470,32.75,2,MORTGAGE,Services,9052.51,21122.5,Good,1
100123,836876.8,1391485.99,42517.63,1799221.61,Revolving loans, 36 months,6.35,A,850,30.59,17,MORTGAGE,Services,20921.92,48817.81,Poor,0
100124,135159.21,143485.61,4384.28,17210.83,Cash loans, 36 months,7.19,A,799,4.88,7,OWN,Services,3378.98,7884.29,Good,0
100125,60295.47,75058.88,2293.47,43510.98,Cash loans, 36 months,17.51,D,643,19.38,28,OWN,Services,1507.38,3517.24,Good,0
100126,41752.38,44587.45,817.44,54439.29,Cash loans, 60 months,13.25,C,669,12.25,15,OWN,Trading,1043.8,2435.56,Good,0
100127,55559.85,92913.96,1703.42,107218.75,Cash loans, 60 months,16.52,D,642,0.77,26,OWN,Trading,1389.0,3240.99,Good,0
100128,190290.98,246553.88,7533.59,23897.24,Cash loans, 36 months,24.53,F,580,14.86,20,RENT,Services,4757.27,11100.31,Good,0
100129,109940.72,110428.25,3374.2,65341.99,Cash loans, 36 months,10.57,B,728,38.21,15,MORTGAGE,Manufacturing,2748.52,6413.21,Poor,1
100130,131645.74,137090.48,4188.88,92561.66,Cash loans, 36 months,12.9,C,683,35.58,20,RENT,Manufacturing,3291.15,7679.33,Good,0
100131,951233.14,248371.57,4553.48,26855.55,Cash loans, 60 months,19.7,E,619,11.86,7,OWN,Services,23780.83,55488.6,Poor,1
100132,28738.32,44610.73,1363.11,1401.56,Cash loans, 36 months,6.59,A,819,38.71,4,MORTGAGE,Manufacturing,718.46,1676.4,Poor,0
100133,25000.0,25217.13,462.31,12188.03,Cash loans, 60 months,20.84,E,598,19.44,8,RENT,Trading,625.0,1458.33,Good,0
100134,289864.43,266949.51,8156.79,245435.88,Revolving loans, 36 months,12.24,C,678,9.63,8,OWN,Services,7246.61,16908.76,Average,0
100135,494566.88,912950.88,27895.72,1033974.29,Cash loans, 36 months,10.31,B,749,31.06,6,RENT,Services,12364.18,28849.73,Good,0
100136,27648.02,38764.36,1184.47,56118.96,Cash loans, 36 months,6.68,A,790,6.03,17,OWN,Trading,691.2,1612.8,Good,0
100137,6079083.27,1690824.97,51664.1,2224631.37,Cash loans, 36 months,10.48,B,720,32.47,18,OWN,Services,151977.08,354613.19,Poor,0
100138,63451.34,73264.81,1343.19,67695.09,Cash loans, 60 months,20.57,E,614,14.22,1,OWN,Trading,1586.28,3701.33,Average,1
100139,159496.15,245860.95,7512.42,278903.92,Cash loans, 36 months,9.77,B,723,4.99,13,MORTGAGE,Trading,3987.41,9303.94,Average,0
100140,25000.0,2652.87,81.06,1414.62,Cash loans, 36 months,7.18,A,845,3.72,21,MORTGAGE,Manufacturing,625.0,1458.33,Good,0
100141,44803.04,55852.66,1706.61,67441.17,Cash loans, 36 months,12.12,C,699,3.08,19,MORTGAGE,Manufacturing,1120.08,2613.51,Average,0
100142,108266.19,162124.36,4953.8,90324.83,Cash loans, 36 months,7.53,A,830,32.05,3,OWN,Manufacturing,2706.65,6315.53,Poor,0
100143,1111144.13,360942.68,11028.8,454680.73,Cash loans, 36 months,6.72,A,850,7.38,19,MORTGAGE,Trading,27778.6,64816.74,Good,0
100144,360347.91,672507.27,12329.3,56627.91,Cash loans, 60 months,6.75,A,850,9.02,12,MORTGAGE,Manufacturing,9008.7,21020.29,Good,0
100145,59012.74,11489.77,210.65,15673.03,Cash loans, 60 months,17.85,D,653,15.95,5,MORTGAGE,Manufacturing,1475.32,3442.41,Poor,0
100146,25000.0,14353.44,438.58,16349.97,Cash loans, 36 months,19.13,E,610,31.07,22,RENT,Manufacturing,625.0,1458.33,Average,1
100147,43130.81,30142.4,552.61,3907.57,Cash loans, 60 months,10.76,B,735,5.12,24,OWN,Manufacturing,1078.27,2515.96,Good,0
100148,25000.0,14685.18,448.71,4363.65,Cash loans, 36 months,17.94,D,647,18.56,4,RENT,Manufacturing,625.0,1458.33,Good,0
100149,95948.87,188345.9,5755.01,114131.37,Cash loans, 36 months,9.45,B,723,24.52,22,MORTGAGE,Trading,2398.72,5597.02,Good,0
100150,121010.17,161772.4,4943.05,15111.1,Cash loans, 36 months,6.92,A,790,32.26,15,OWN,Services,3025.25,7058.93,Average,0
100151,35208.45,54144.54,1654.42,16639.8,Cash loans, 36 months,13.54,C,670,39.4,25,OWN,Services,880.21,2053.83,Good,0
100152,62041.11,100311.41,3065.07,67965.52,Cash loans, 36 months,16.88,D,630,3.74,0,OWN,Services,1551.03,3619.06,Good,0
100153,113260.97,78542.33,2399.9,23072.69,Cash loans, 36 months,24.33,F,424,22.31,3,OWN,Services,2831.52,6606.89,Good,1
100154,5708342.09,7667193.07,234275.34,5064066.99,Cash loans, 36 months,10.76,B,718,3.34,7,RENT,Services,142708.55,332986.62,Good,0
100155,247829.19,323634.05,9888.82,428132.78,Cash loans, 36 months,7.78,A,818,28.77,20,MORTGAGE,Trading,6195.73,14456.7,Good,0
100156,154631.89,305757.44,5605.55,298878.47,Cash loans, 60 months,13.64,C,676,10.17,18,MORTGAGE,Trading,3865.8,9020.19,Good,0
100157,135957.87,247468.31,4536.92,70996.34,Cash loans, 60 months,7.61,A,850,29.52,20,OWN,Trading,3398.94,7930.88,Poor,0
100158,27012.72,37926.44,1158.86,9948.95,Cash loans, 36 months,10.67,B,732,9.09,1,OWN,Services,675.32,1575.74,Good,0
100159,57728.09,13286.71,243.59,8137.57,Cash loans, 60 months,12.12,C,680,32.3,5,OWN,Services,1443.2,3367.47,Good,0
100160,189280.26,179703.73,5490.95,233047.96,Cash loans, 36 months,7.95,A,765,15.22,26,OWN,Trading,4732.01,11041.35,Good,0
100161,62713.29,21458.14,393.4,31310.96,Cash loans, 60 months,7.24,A,784,39.27,25,RENT,Manufacturing,1567.83,3658.28,Good,0
100162,45555.34,65463.18,2000.26,9479.18,Cash loans, 36 months,6.94,A,780,0.5,19,OWN,Manufacturing,1138.89,2657.39,Average,0
100163,681020.28,932200.24,28483.9,1247706.9,Cash loans, 36 months,12.07,C,689,31.78,27,RENT,Services,17025.51,39726.18,Good,0
100164,203462.39,105480.61,3223.02,116698.33,Cash loans, 36 months,7.74,A,839,1.31,4,OWN,Trading,5086.56,11868.64,Average,0
100165,5734033.68,5308180.33,97316.64,4792677.18,Cash loans, 60 months,7.18,A,850,25.25,7,OWN,Manufacturing,143350.84,334485.3,Good,0
100166,25000.0,48611.39,1485.35,19802.0,Cash loans, 36 months,9.54,B,738,39.35,21,MORTGAGE,Trading,625.0,1458.33,Good,0
100167,25000.0,9151.14,279.62,13335.95,Cash loans, 36 months,24.56,F,559,24.43,5,OWN,Manufacturing,625.0,1458.33,Good,0
100168,75307.39,80885.31,2471.5,113047.78,Cash loans, 36 months,17.23,D,624,3.48,20,MORTGAGE,Manufacturing,1882.69,4392.93,Good,0
100169,98910.54,94571.76,1733.82,23435.44,Cash loans, 60 months,6.52,A,757,26.84,10,OWN,Manufacturing,2472.77,5769.78,Good,0
100170,46416.58,57891.29,1768.9,9941.76,Cash loans, 36 months,9.74,B,714,18.25,14,OWN,Services,1160.42,2707.63,Good,0
100171,110098.9,167869.6,5129.35,162689.86,Cash loans, 36 months,9.28,B,723,20.09,25,OWN,Manufacturing,2752.47,6422.44,Good,0
100172,212236.19,355523.99,6517.94,437301.24,Cash loans, 60 months,6.9,A,763,21.3,1,MORTGAGE,Services,5305.91,12380.44,Good,0
100173,377343.57,643992.76,19677.56,415308.75,Cash loans, 36 months,19.89,E,605,31.56,23,MORTGAGE,Trading,9433.59,22011.71,Good,0
100174,2241621.34,2703793.49,82615.91,2437770.63,Cash loans, 36 months,24.75,F,562,27.54,22,OWN,Manufacturing,56040.54,130761.24,Good,1
100175,165615.24,18673.08,570.57,22175.78,Cash loans, 36 months,7.12,A,822,23.21,27,OWN,Services,4140.38,9660.89,Good,0
100176,120151.99,232089.56,7091.63,13575.85,Cash loans, 36 months,19.32,E,585,15.52,23,MORTGAGE,Trading,3003.8,7008.87,Good,0
100177,25000.0,20093.86,613.98,14286.93,Cash loans, 36 months,10.21,B,701,3.53,4,RENT,Trading,625.0,1458.33,Good,0
100178,25000.0,28801.3,880.04,32915.64,Cash loans, 36 months,19.6,E,587,17.62,4,OWN,Manufacturing,625.0,1458.33,Good,0
100179,45712.13,53009.92,1619.75,46155.81,Cash loans, 36 months,6.8,A,850,19.56,20,RENT,Manufacturing,1142.8,2666.54,Average,0
100180,26707.02,39754.85,1214.73,50839.96,Cash loans, 36 months,24.26,F,579,36.28,25,OWN,Services,667.67,1557.91,Poor,1
100181,1318400.72,2112036.57,64534.45,2516102.95,Cash loans, 36 months,12.97,C,687,39.24,21,OWN,Trading,32960.02,76906.71,Good,0
100182,25000.0,20860.67,637.41,15405.36,Cash loans, 36 months,20.96,E,615,34.62,29,MORTGAGE,Trading,625.0,1458.33,Good,1
100183,989899.36,1972506.73,60271.04,9372.9,Cash loans, 36 months,19.51,E,597,12.48,12,OWN,Manufacturing,24747.48,57744.13,Good,0
100184,280258.3,394231.47,7227.58,409527.12,Cash loans, 60 months,9.72,B,719,11.98,17,OWN,Trading,7006.46,16348.4,Good,0
100185,1355241.07,1878310.55,34435.69,830080.08,Cash loans, 60 months,6.29,A,772,29.62,2,RENT,Manufacturing,33881.03,79055.73,Average,0
100186,86351.81,74114.93,1358.77,31165.45,Cash loans, 60 months,9.61,B,714,0.98,1,OWN,Services,2158.79,5037.19,Good,0
100187,262523.11,459676.41,14045.67,77868.02,Cash loans, 36 months,13.42,C,686,5.81,28,OWN,Services,6563.08,15313.85,Good,0
100188,82724.79,50108.0,1531.08,43838.8,Cash loans, 36 months,6.44,A,802,21.96,13,OWN,Manufacturing,2068.12,4825.61,Good,0
